shortOperatorName,lineName,hafasLineId
lux-rgtr,110,RGTR--_110
lux-rgtr,111,RGTR--_111
lux-rgtr,112,RGTR--_112
lux-rgtr,113,RGTR--_113
lux-rgtr,114,RGTR--_114
lux-rgtr,115,RGTR--_1150
lux-rgtr,116,RGTR--_116
lux-rgtr,117,RGTR--_117
lux-rgtr,118,RGTR--_118
lux-rgtr,119,RGTR--_119
lux-rgtr,120,RGTR--_120
lux-rgtr,121,RGTR--_121
lux-rgtr,130,RGTR--_130
lux-rgtr,131,RGTR--_131
lux-rgtr,132,RGTR--_132
lux-rgtr,133,RGTR--_133
lux-rgtr,134,RGTR--_134
lux-rgtr,135,RGTR--_135
lux-rgtr,136,RGTR--_136
lux-rgtr,137,RGTR--_137
lux-rgtr,138,RGTR--_138
lux-rgtr,139,RGTR--_139
lux-rgtr,140,RGTR--_140
lux-rgtr,141,RGTR--_141
lux-rgtr,142,RGTR--_142
lux-rgtr,143,RGTR--_143
lux-rgtr,144,RGTR--_144
lux-rgtr,145,RGTR--_145
lux-rgtr,146,RGTR--_146
lux-rgtr,147,RGTR--_147
lux-rgtr,148,RGTR--_148
lux-rgtr,151,RGTR--_151
lux-rgtr,152,RGTR--_152
lux-rgtr,153,RGTR--_153
lux-rgtr,154,RGTR--_154
lux-rgtr,155,RGTR--_155
lux-rgtr,157,RGTR--_157
lux-rgtr,160,RGTR--_160
lux-rgtr,161,RGTR--_161
lux-rgtr,162,RGTR--_162
lux-rgtr,163,RGTR--_163
lux-rgtr,164,RGTR--_164
lux-rgtr,165,RGTR--_165
lux-rgtr,170,RGTR--_170
lux-rgtr,171,RGTR--_171
lux-rgtr,172,RGTR--_172
lux-rgtr,173,RGTR--_173
lux-rgtr,174,RGTR--_174
lux-rgtr,175,RGTR--_175
lux-rgtr,176,RGTR--_176
lux-rgtr,180,RGTR--_180
lux-rgtr,181,RGTR--_181
lux-rgtr,182,RGTR--_182
lux-rgtr,188,RGTR--_188
lux-rgtr,189,RGTR--_189
lux-rgtr,190,RGTR--_190
lux-rgtr,191,RGTR--_191
lux-rgtr,201,RGTR--_201
lux-rgtr,211,RGTR--_211
lux-rgtr,212,RGTR--_212
lux-rgtr,221,RGTR--_221
lux-rgtr,222,RGTR--_222
lux-rgtr,223,RGTR--_223
lux-rgtr,231,RGTR--_231
lux-rgtr,232,RGTR--_232
lux-rgtr,233,RGTR--_233
lux-rgtr,234,RGTR--_234
lux-rgtr,235,RGTR--_235
lux-rgtr,241,RGTR--_241
lux-rgtr,242,RGTR--_242
lux-rgtr,243,RGTR--_243
lux-rgtr,244,RGTR--_244
lux-rgtr,250,RGTR--_250
lux-rgtr,261,RGTR--_261
lux-rgtr,262,RGTR--_262
lux-rgtr,271,RGTR--_271
lux-rgtr,272,RGTR--_272
lux-rgtr,273,RGTR--_273
lux-rgtr,274,RGTR--_274
lux-rgtr,291,RGTR--_291
lux-rgtr,292,RGTR--_292
lux-rgtr,301,RGTR--_301
lux-rgtr,302,RGTR--_302
lux-rgtr,303,RGTR--_303
lux-rgtr,304,RGTR--_304
lux-rgtr,305,RGTR--_305
lux-rgtr,306,RGTR--_306
lux-rgtr,309,RGTR--_309
lux-rgtr,311,RGTR--_311
lux-rgtr,321,RGTR--_321
