shortOperatorName,lineName,hafasLineId
agilis,RB 15,rb15
agilis,RB 17,rb17
agilis,RB 18,rb18
agilis,RB 21,rb21
agilis,RB 22,rb22
agilis,RB 24,rb24
agilis,RB 26,rb26
agilis,RB 34,rb34
agilis,RB 51,rb51
agilis,RB 95,rb95
agilis,RB 96,rb96
agilis,RB 97,rb97
agilis,RB 98,rb98
agilis,RB 99,rb99
agilis,RE 18,re18
agilis,RE 22,re22
agilis,RE 50,re50
alex-dlb,RE 23,re23
alex-dlb,RE 25,re25
ams,S7,s7
arverio-bw,RE 1,re1
arverio-bw,MEX 13,mex13
arverio-bw,MEX 16,mex16
arverio-bw,RE 8,re8
arverio-bw,RB 8,rb8
arverio-bw,RE 90,re90
arverio-by,RB86,rb86
arverio-by,RB87,rb87
arverio-by,RB89,rb89
arverio-by,RB92,rb92
arverio-by,RE72,re72
arverio-by,RE80,re80
arverio-by,RE89,re89
arverio-by,RE9,re9
arverio-by,RE96,re96
avv-ast,70,3-avvbus-70
avv-ast,71,3-avvbus-71
avv-ast,72,3-avvbus-72
avv-ast,73,3-avvbus-73
avv-ast,74,3-avvbus-74
avv-ast,76,3-avvbus-76
avv-ast,78,3-avvbus-78
avv-avg,1,8-svastr-1
avv-avg,2,8-svastr-2
avv-avg,3,8-svastr-3
avv-avg,4,8-svastr-4
avv-avg,6,8-svastr-6
avv-avg,21,5-svabus-21
avv-avg,22,5-svabus-22
avv-avg,23,5-svabus-23
avv-avg,24,5-svabus-24
avv-avg,25,5-svabus-25
avv-avg,29,5-svabus-29
avv-avg,30,5-svabus-30
avv-avg,31,5-svabus-31
avv-avg,32,5-svabus-32
avv-avg,33,5-svabus-33
avv-avg,35,5-svabus-35
avv-avg,36,5-svabus-36
avv-avg,37,5-svabus-37
avv-avg,38,5-svabus-38
avv-avg,41,5-svabus-41
avv-avg,42,5-svabus-42
avv-avg,43,5-svabus-43
avv-avg,44,5-svabus-44
avv-avg,48,5-svabus-48
avv-avg,90,5-svabus-90
avv-avg,91,5-svabus-91
avv-avg,92,5-svabus-92
