hafas-id,ris-id
db-regionetz-verkehrs-gmbh-kurhessenbahn,8005
db-arriva,8003
db-regionetz-verkehrs-gmbh-westfrankenbahn,8006
db-regionetz-verkehrs-gmbh-sudostbayernbahn,8013
bodensee-oberschwaben-bahn,F7
dsb-s-tog,860022
agilis,A9
alex-die-landerbahn-gmbh-dlb,A8
arverio-baden-wurttemberg,GA
arverio-bayern,GY
bayerische-zugspitzbahn,Z8
hlb-hessenbahn-gmbh,K4
akn-eisenbahn-gmbh,A0
metronom,R1
mitteldeutsche-regiobahn,CX
nordbahn,O0
norddeutsche-eisenbahn-gesellschaft,N0
erixx,X1
neb-niederbarnimer-eisenbahn,NB
national-express,NX
eurobahn,R2
rheinruhrbahn-transdev,TD
vias-rail-gmbh,R4
rurtalbahn,D3
mittelrheinbahn-trans-regio,TR
sncb,88
nordwestbahn,N2
regiobahn,M2
hanseatische-eisenbahn-gmbh,PB
erfurter-bahn-gmbh,EB
tri-train-rental-gmbh,TRI
regionalverkehre-start-deutschland-gmbh-start-niedersachsen-mitte,RS
oberpfalzbahn-die-landerbahn-gmbh-dlb,09
ostdeutsche-eisenbahn-gmbh,OW
osterreichische-bundesbahnen,81
regionalverkehre-start-deutschland-gmbh-start-taunus,RS
schweizerische-bundesbahnen,85
sweg-sudwestdeutsche-landesverkehrs-gmbh,S6
sweg-bahn-stuttgart-gmbh,SBS
westfalenbahn,W3
waldbahn-die-landerbahn-gmbh-dlb,W9
trilex-die-landerbahn-gmbh-dlb,LD
vogtlandbahn-die-landerbahn-gmbh-dlb,RD
vias-gmbh,R4
wurttembergische-eisenbahn-gesellschaft-mbh,W7
vlexx,V6
s-bahn-hannover-transdev,TDHS
db-regio-stuttgart-gmbh,SBS
s-bahn-hamburg,0S
s-bahn-berlin,08
albtal-verkehrs-gesellschaft-mbh,A6
db-regio-ag-mitte-hessen,8005
db-regio-ag-mitte,8015
cantus-verkehrsgesellschaft,N4
db-regio-ag-bayern-sbahn-nurnberg,800721
nordwestbahn-sbahn,N1
nvv-rt,H4
vms-chemnitzbahn,CD
wurttembergische-eisenbahn-gesellschaft-mbh,vvs012
