hafasLineId,hafasOperatorCode,lineName,risOperatorCode
rb64,bayerische-zugspitzbahn,RB 64,Z8
rb13,bayerische-regiobahn,RB 13,Y8
rb14,bayerische-regiobahn,RB 14,Y8
rb53,bayerische-regiobahn,RB 53,L8
rb54,bayerische-regiobahn,RB 54,M8
rb55,bayerische-regiobahn,RB 55,T8
rb56,bayerische-regiobahn,RB 56,T8
rb57,bayerische-regiobahn,RB 57,T8
rb58,bayerische-regiobahn,RB 58,M8
rb67,bayerische-regiobahn,RB 67,Y8
rb68,bayerische-regiobahn,RB 68,Y8
rb69,bayerische-regiobahn,RB 69,Y8
rb77,bayerische-regiobahn,RB 77,Y8
rb83,bayerische-regiobahn,RB 83,Y8
re5,bayerische-regiobahn,RE 5,M8
re11,cfl,RE 11,800640
rb83,cfl,RB 83,801512
r91,polregio,RB91,51
,salzburger-lokalbahnen,R33,81
re70,db-regio-mitte,8005
s1,db-regio-ag-mitte-s-bahn-vrn,S 1,8000244
s2,db-regio-ag-mitte-s-bahn-vrn,S 2,801539
s3,db-regio-ag-mitte-s-bahn-vrn,S 3,801539
s4,db-regio-ag-mitte-s-bahn-vrn,S 4,801539
s5,db-regio-ag-mitte-s-bahn-vrn,S 5,801539
s6,db-regio-ag-mitte-s-bahn-vrn,S 6,8000244
s7,db-regio-ag-mitte-s-bahn-vrn,S 7,801518
s8,db-regio-ag-mitte-s-bahn-vrn,S 8,801518
s9,db-regio-ag-mitte-s-bahn-vrn,S 9,801518
s10,db-regio-ag-mitte-s-bahn-vrn,S 10,801518
s12,db-regio-ag-mitte-s-bahn-vrn,S 12,801539
s33,db-regio-ag-mitte-s-bahn-vrn,S 33,801539
s44,db-regio-ag-mitte-s-bahn-vrn,S 44,801539
s1,db-regio-ag-sudost,S 1,800469
s2,db-regio-ag-sudost,S 2,800469
s3,db-regio-ag-sudost,S 3,800469
s8,db-regio-ag-sudost,S 8,8004l1
s1,db-regio-ag-nrw,S 1,800337
s2,db-regio-ag-nrw,S 2,8003L1
s3,db-regio-ag-nrw,S 3,8003L1
s4,db-regio-ag-nrw,S 4,800337
s5,db-regio-ag-nrw,S 5,800354
s6,db-regio-ag-nrw,S 6,8003S
s8,db-regio-ag-nrw,S 8,800354
s9,db-regio-ag-nrw,S 9,8003L1
s11,db-regio-ag-nrw,S 11,8003S
s12,db-regio-ag-nrw,S 12,8003S
s19,db-regio-ag-nrw,S 19,8003S
s23,db-regio-ag-nrw,S 23,800352
s68,db-regio-ag-nrw,S 68,8003S
